stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
20940,2084,Patte De Canard,,14.626032,-61.060180,0,10232,0
10231,ETOIL,Etoile,,14.624187,-61.060927,1,,0
20941,2085,Etoile,,14.624060,-61.061045,0,10231,0
10230,CRCD,Croisée Coridon,,14.622446,-61.060532,1,,0
20942,2086,Croisée Coridon,,14.622602,-61.060609,0,10230,0
10229,REDOU2,Redoute 2Pv,,14.619509,-61.060665,1,,0
20943,2087,Redoute 2Pv,,14.619694,-61.060656,0,10229,0
10811,DESAIX2,Fort Desaix Pv2,,14.617952,-61.061438,1,,0
20944,2088,Fort Desaix Pv2,,14.617952,-61.061438,0,10811,0
10227,REDOU,Redoute Pv,,14.616644,-61.061724,1,,0
20945,2089,Redoute Pv,,14.616714,-61.061774,0,10227,0
10226,MATER,Redoute Maternité Pv,,14.614342,-61.062827,1,,0
20946,2090,Redoute Maternité Pv,,14.614748,-61.062602,0,10226,0
10812,CLARAC,Clarac,,14.613660,-61.065456,1,,0
20947,2091,Clarac,,14.613660,-61.065456,0,10812,0
10813,CASSIN,R Cassin,,14.612161,-61.066713,1,,0
20948,2092,R Cassin,,14.612161,-61.066713,0,10813,0
10814,JOVIGNA,A Jovignac,,14.611087,-61.068321,1,,0
20949,2093,A Jovignac,,14.611087,-61.068321,0,10814,0
10815,GOUSSAR,Y Goussard,,14.608102,-61.068795,1,,0
20950,2094,Y Goussard,,14.608102,-61.068795,0,10815,0
10139,NARD,Nardal,,14.606835,-61.067716,1,,0
20193,2744,Nardal,,14.606600,-61.067500,0,10139,0
20192,1087,Nardal,,14.607071,-61.067932,0,10139,0
10223,CALVAI,Calvaire Pv,,14.609091,-61.063573,1,,0
20290,1153,Calvaire Pv,,14.609091,-61.063573,0,10223,0
10224,GERBO,Gerbault Pv,,14.610771,-61.063614,1,,0
20291,1154,Gerbault Pv,,14.610771,-61.063614,0,10224,0
10225,LAFOLIE,La Folie Pv,,14.613135,-61.063814,1,,0
20292,1155,La Folie Pv,,14.613135,-61.063814,0,10225,0
20293,1156,Redoute Maternité Pv,,14.613936,-61.063052,0,10226,0
20294,1157,Redoute Pv,,14.616574,-61.061675,0,10227,0
10228,DESAIX,Fort Desaix Pv1,,14.617886,-61.061398,1,,0
20295,1158,Fort Desaix Pv1,,14.617886,-61.061398,0,10228,0
20296,1159,Redoute 2Pv,,14.619325,-61.060674,0,10229,0
20297,1160,Croisée Coridon,,14.622290,-61.060455,0,10230,0
20298,1161,Etoile,,14.624315,-61.060809,0,10231,0
20299,1162,Patte De Canard,,14.626280,-61.059960,0,10232,0
20300,1163,Bocharel Pv,,14.629883,-61.059853,0,10233,0
20372,1246,La Charmeuse,,14.631413,-61.059840,0,10305,0
20373,1247,Ravine Vilaine 1Pv,,14.633330,-61.059675,0,10306,0
20374,1248,Desbrosses,,14.635652,-61.059612,0,10307,0
20375,1249,Tire D'aile,,14.641140,-61.059244,0,10308,0
20376,1250,Giratoire Bel Horizon,,14.644292,-61.059210,0,10309,0
20377,1251,Ravine Vilaine 2Pv,,14.647008,-61.059442,0,10310,0
20378,1252,Les Hameaux,,14.648529,-61.060367,0,10311,0
20379,1253,Ravine Vilaine 3Pv,,14.650421,-61.059809,0,10312,0
20380,1254,Ravine Vilaine 4Pv,,14.650972,-61.058904,0,10313,0
20381,1255,Vallée Heureuse,,14.653853,-61.057874,0,10314,0
